Douglas Route,,,
Point,Lat,Lon,Description
0,42.04092,-71.705394,Apple Orchard
1,42.039202,-71.705208,Top of Hill
2,42.036715,-71.704446,Top of Driveway
3,42.036854,-71.704003,Bottom of driveway
4,42.037163,-71.703521,Stone Wall Garden
